time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),서울시(대곡교)_WL,성남시(궁내교)_WL,대곡교_Ti,궁내교_Ti,대곡교_누적강우,궁내교_누적강우
2020-08-06 19:00,0,0,0,0,0,0,3.31,1.61,0,0,145,177.669
2020-08-06 19:10,0,0,0,0,0,0,3.27,1.6,0,0,145,177.669
2020-08-06 19:20,0,0,0,0,0,0,3.23,1.6,0,0,145,177.669
2020-08-06 19:30,0,0,0,0,0,0,3.22,1.59,0,0,145,177.669
2020-08-06 19:40,0,0,0,0,0,0,3.17,1.58,0,0,145,177.669
2020-08-06 19:50,0,0,0,0,0,0,3.18,1.58,0,0,145,177.669
2020-08-06 20:00,0,0,0,0,0,0,3.15,1.57,0,0,145,177.669
2020-08-06 20:10,0,0,0,0,0,0,3.14,1.57,0,0,145,177.669
2020-08-06 20:20,0,0,0,0,0,0,3.11,1.57,0,0,145,177.669
2020-08-06 20:30,0,0,0,0,0,0,3.1,1.56,0,0,145,177.669
2020-08-06 20:40,0,0,0,0,0,0,3.09,1.56,0,0,145,177.669
2020-08-06 20:50,0,0,0,0,0,0,3.09,1.55,0,0,145,177.669
2020-08-06 21:00,0,0,0,0,0,0,3.07,1.55,0,0,145,177.669
2020-08-06 21:10,0,0,0,0,0,0,3.03,1.55,0,0,145,177.669
2020-08-06 21:20,0,0,0,0,0,0,3.07,1.54,0,0,145,177.669
2020-08-06 21:30,0,0,0,0,0,0,3,1.54,0,0,145,177.669
2020-08-06 21:40,0,0,0,0,0,0,3.04,1.53,0,0,145,177.669
2020-08-06 21:50,0,0,0,0,0,0,3,1.53,0,0,145,177.669
2020-08-06 22:00,0,0,0,0,0,0,3.01,1.52,0,0,145,177.669
2020-08-06 22:10,0,0,0,0,0,0,2.97,1.52,0,0,145,177.669
2020-08-06 22:20,0,0,0,0,0,0,2.98,1.52,0,0,145,177.669
2020-08-06 22:30,0,0,0,0,0,0,2.98,1.51,0,0,145,177.669
2020-08-06 22:40,0,0,0,0,0,0,2.96,1.51,0,0,145,177.669
2020-08-06 22:50,0,0,0,0,0,0,2.97,1.5,0,0,145,177.669
2020-08-06 23:00,0,0,0,0,0,0,2.96,1.5,0,0,145,177.669
2020-08-06 23:10,0,0,0,0,0,0,2.94,1.5,0,0,145,177.669
2020-08-06 23:20,0,0,0,0,0,0,2.93,1.49,0,0,145,177.669
2020-08-06 23:30,0,0,0,0,0,0,2.94,1.49,0,0,145,177.669
2020-08-06 23:40,0,0,0,0,0,0,2.92,1.48,0,0,145,177.669
2020-08-06 23:50,0,0,0,0,0,0,2.91,1.48,0,0,145,177.669
2020-08-07 0:00,0,0,0,0,0,0,2.91,1.48,0,0,145,177.669
2020-08-07 0:10,0,0,0,0,0,0,2.89,1.47,0,0,145,177.669
2020-08-07 0:20,0,0,0,0,0,0,2.88,1.47,0,0,145,177.669
2020-08-07 0:30,0,0,0,0,0,0,2.86,1.46,0,0,145,177.669
2020-08-07 0:40,0,0,0,0,0,0,2.84,1.46,0,0,145,177.669
2020-08-07 0:50,0,0,0,0,0,0,2.82,1.45,0,0,145,177.669
2020-08-07 1:00,0,0,0,0,0,0,2.8,1.45,0,0,145,177.669
2020-08-07 1:10,0,0,0,0,0,0,2.79,1.45,0,0,145,177.669
2020-08-07 1:20,0,0,0,0,0,0,2.77,1.44,0,0,145,177.669
2020-08-07 1:30,0,0,0,0,0,0,2.75,1.44,0,0,145,177.669
2020-08-07 1:40,0,0,0,0,0,0,2.73,1.44,0,0,145,177.669
2020-08-07 1:50,0,0,0,0,0,0,2.71,1.44,0,0,145,177.669
2020-08-07 2:00,0,0,0,0,0,0,2.7,1.43,0,0,145,177.669
2020-08-07 2:10,0,0,0,0,0,0,2.7,1.43,0,0,145,177.669
2020-08-07 2:20,0,0,0,0,0,0,2.68,1.43,0,0,145,177.669
2020-08-07 2:30,0,0,0,0,0,0,2.68,1.42,0,0,145,177.669
2020-08-07 2:40,0,0,0,0,0,0,2.66,1.42,0,0,145,177.669
2020-08-07 2:50,0,0,0,0,0,0,2.66,1.41,0,0,145,177.669
2020-08-07 3:00,0,0,0,0,0,0,2.65,1.41,0,0,145,177.669
2020-08-07 3:10,0,0,0,0,0,0,2.64,1.41,0,0,145,177.669
2020-08-07 3:20,0,0,0,0,0,0,2.63,1.4,0,0,145,177.669
2020-08-07 3:30,0,0,0,0,0,0,2.61,1.4,0,0,145,177.669
2020-08-07 3:40,0,0,0,0,0,0,2.61,1.4,0,0,145,177.669
2020-08-07 3:50,0,0,0,0,0,0,2.6,1.4,0,0,145,177.669
2020-08-07 4:00,0,0,0,0,0,0,2.59,1.39,0,0,145,177.669
2020-08-07 4:10,0,0,0,0,0,0,2.58,1.39,0,0,145,177.669
2020-08-07 4:20,0,0,0,0,0,0,2.58,1.39,0,0,145,177.669
